id,sentiment
0,worry
1,neutral
2,neutral
3,happiness
4,love
5,happiness
6,neutral
7,neutral
8,worry
9,love
10,neutral
11,surprise
12,happiness
13,happiness
14,love
15,love
16,surprise
17,love
18,fun
19,happiness
20,happiness
21,love
22,happiness
23,neutral
24,worry
25,happiness
26,happiness
27,neutral
28,neutral
29,happiness
30,love
31,love
32,neutral
33,happiness
34,fun
35,happiness
36,neutral
37,worry
38,love
39,neutral
40,happiness
41,worry
42,surprise
43,neutral
44,happiness
45,happiness
46,neutral
47,fun
48,surprise
49,worry
50,neutral
51,worry
52,worry
53,happiness
54,neutral
55,love
56,neutral
57,surprise
58,love
59,neutral
60,worry
61,worry
62,neutral
63,neutral
64,neutral
65,fun
66,happiness
67,love
68,happiness
69,empty
70,worry
71,happiness
72,love
73,neutral
74,love
75,love
76,neutral
77,neutral
78,hate
79,relief
80,happiness
81,neutral
82,love
83,love
84,fun
85,worry
86,surprise
87,love
88,neutral
89,neutral
90,love
91,happiness
92,love
93,neutral
94,worry
95,worry
96,neutral
97,enthusiasm
98,fun
99,happiness
100,happiness
101,happiness
102,fun
103,neutral
104,worry
105,worry
106,happiness
107,neutral
108,surprise
109,neutral
110,neutral
111,love
112,fun
113,neutral
114,worry
115,love
116,fun
117,neutral
118,love
119,neutral
120,love
121,neutral
122,neutral
123,worry
124,happiness
125,love
126,neutral
127,happiness
128,worry
129,happiness
130,happiness
131,neutral
132,surprise
133,neutral
134,neutral
135,neutral
136,worry
137,surprise
138,neutral
139,love
140,neutral
141,neutral
142,love
143,worry
144,relief
145,happiness
146,neutral
147,worry
148,worry
149,neutral
150,worry
151,love
152,sadness
153,neutral
154,worry
155,neutral
156,fun
157,fun
158,neutral
159,neutral
160,surprise
161,neutral
162,neutral
163,relief
164,love
165,worry
166,worry
167,love
168,happiness
169,neutral
170,neutral
171,neutral
172,neutral
173,happiness
174,love
175,happiness
176,neutral
177,love
178,worry
179,neutral
180,neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,surprise
186,neutral
187,worry
188,worry
189,relief
190,happiness
191,worry
192,worry
193,love
194,happiness
195,worry
196,neutral
197,sadness
198,happiness
199,neutral
200,sadness
201,neutral
202,worry
203,worry
204,love
205,neutral
206,neutral
207,happiness
208,relief
209,worry
210,worry
211,neutral
212,sadness
213,neutral
214,worry
215,relief
216,surprise
217,worry
218,neutral
219,relief
220,happiness
221,neutral
222,happiness
223,happiness
224,happiness
225,love
226,neutral
227,neutral
228,happiness
229,worry
230,worry
231,love
232,neutral
233,neutral
234,worry
235,fun
236,surprise
237,happiness
238,neutral
239,sadness
240,love
241,neutral
242,fun
243,happiness
244,enthusiasm
245,love
246,love
247,love
248,neutral
249,fun
250,happiness
251,love
252,neutral
253,love
254,relief
255,surprise
256,neutral
257,neutral
258,worry
259,worry
260,worry
261,love
262,sadness
263,neutral
264,happiness
265,happiness
266,sadness
267,love
268,neutral
269,happiness
270,neutral
271,love
272,neutral
273,happiness
274,neutral
275,sadness
276,love
277,happiness
278,worry
279,love
280,happiness
281,love
282,love
283,worry
284,neutral
285,love
286,happiness
287,worry
288,neutral
289,happiness
290,happiness
291,love
292,love
293,happiness
294,happiness
295,worry
296,worry
297,neutral
298,worry
299,enthusiasm
300,neutral
301,love
302,happiness
303,worry
304,neutral
305,sadness
306,neutral
307,worry
308,happiness
309,fun
310,neutral
311,neutral
312,neutral
313,neutral
314,happiness
315,love
316,worry
317,love
318,neutral
319,worry
320,love
321,neutral
322,neutral
323,love
324,happiness
325,worry
326,worry
327,neutral
328,happiness
329,neutral
330,happiness
331,hate
332,sadness
333,neutral
334,worry
335,happiness
336,neutral
337,worry
338,love
339,neutral
340,sadness
341,happiness
342,neutral
343,neutral
344,fun
345,neutral
346,love
347,happiness
348,sadness
349,neutral
350,neutral
351,worry
352,worry
353,neutral
354,love
355,neutral
356,sadness
357,happiness
358,neutral
359,neutral
360,neutral
361,fun
362,surprise
363,worry
364,happiness
365,love
366,sadness
367,happiness
368,relief
369,worry
370,love
371,love
372,neutral
373,happiness
374,happiness
375,happiness
376,happiness
377,happiness
378,worry
379,happiness
380,neutral
381,neutral
382,relief
383,happiness
384,neutral
385,neutral
386,love
387,love
388,happiness
389,worry
390,love
391,neutral
392,love
393,worry
394,surprise
395,worry
396,happiness
397,fun
398,neutral
399,happiness
400,neutral
401,enthusiasm
402,neutral
403,neutral
404,fun
405,neutral
406,worry
407,happiness
408,neutral
409,happiness
410,neutral
411,love
412,love
413,love
414,neutral
415,neutral
416,neutral
417,worry
418,happiness
419,neutral
420,love
421,neutral
422,love
423,worry
424,neutral
425,relief
426,neutral
427,love
428,neutral
429,love
430,neutral
431,neutral
432,love
433,neutral
434,neutral
435,neutral
436,happiness
437,neutral
438,surprise
439,neutral
440,neutral
441,fun
442,happiness
443,happiness
444,worry
445,happiness
446,love
447,neutral
448,happiness
449,neutral
450,worry
451,happiness
452,sadness
453,fun
454,worry
455,worry
456,happiness
457,worry
458,neutral
459,happiness
460,hate
461,happiness
462,happiness
463,happiness
464,neutral
